date,pred_flow,river_flow,river_stage,flood_flag,cause,flood_type
1976-04-20,13.974,7.62,NA,0,NA,NA
1976-04-21,16.7257,7.1,NA,0,NA,NA
1976-04-22,20.9471,8.94,NA,0,NA,NA
1976-04-23,21.3175,7.84,NA,0,NA,NA
1976-04-24,19.0951,7.41,NA,0,NA,NA
1976-04-25,21.1023,7.98,NA,0,NA,NA
1976-04-26,24.4847,7,NA,0,NA,NA
1976-04-27,24.3754,7.57,NA,0,NA,NA
1976-04-28,22.1873,6.13,NA,0,NA,NA
1976-04-29,20.343,5.05,NA,0,NA,NA
1976-04-30,23.1734,7.69,NA,0,NA,NA
1976-05-01,119.894,14.55,NA,0,NA,NA
1976-05-02,98.4914,41.3,NA,0,NA,NA
1976-05-03,72.7135,27.21,NA,0,NA,NA
1976-05-04,58.1683,16.76,NA,0,NA,NA
1976-05-05,49.6671,14.31,NA,0,NA,NA
1976-05-06,43.0594,12.87,NA,0,NA,NA
1976-05-07,37.5548,11.54,NA,0,NA,NA
1976-05-08,35.1543,10.92,NA,0,NA,NA
1976-05-09,35.6158,40.46,NA,0,NA,NA
1976-05-10,33.9021,29.32,NA,0,NA,NA
1976-05-11,32.1857,20.41,NA,0,NA,NA
1976-05-12,30.3352,16.35,NA,0,NA,NA
1976-05-13,27.799,12.89,NA,0,NA,NA
1976-05-14,65.2574,16.01,NA,0,NA,NA
1976-05-15,63.8193,25.34,NA,0,NA,NA
1976-05-16,50.3299,17.12,NA,0,NA,NA
1976-05-17,41.3473,14,NA,0,NA,NA
1976-05-18,72.0336,147.81,NA,0,NA,NA
1976-05-19,69.4574,55.91,NA,0,NA,NA
1976-05-20,59.6496,30.32,NA,0,NA,NA
1976-05-21,58.7663,22.76,NA,0,NA,NA
1976-05-22,54.1755,20.33,NA,0,NA,NA
1976-05-23,47.6441,16.72,NA,0,NA,NA
1976-05-24,41.249,14.49,NA,0,NA,NA
1976-05-25,37.0887,12.74,NA,0,NA,NA
1976-05-26,33.7202,11.17,NA,0,NA,NA
1976-05-27,63.2761,10.94,NA,0,NA,NA
1976-05-28,68.1304,105.02,NA,0,NA,NA
1976-05-29,57.7991,40.69,NA,0,NA,NA
1976-05-30,47.5311,24.58,NA,0,NA,NA
1976-05-31,39.6943,18.29,NA,0,NA,NA
