date,flow
2/22/23,10.0787
2/23/23,9.04003
2/24/23,8.28706
2/25/23,7.69107
2/26/23,7.29293
2/27/23,6.99058
2/28/23,6.69692
3/1/23,6.54065
3/2/23,6.49395
3/3/23,6.457
3/4/23,6.4301
3/5/23,6.41177
3/6/23,6.40598
3/7/23,6.46132
3/8/23,6.43346
3/9/23,6.42582
3/10/23,6.51494
3/11/23,6.76176
3/12/23,6.82707
3/13/23,6.57975
3/14/23,6.58174
3/15/23,28.3804
3/16/23,36.5148
3/17/23,29.8979
3/18/23,25.1859
3/19/23,25.6544
3/20/23,26.9547
3/21/23,24.9322
3/22/23,21.4195
3/23/23,18.2051
3/24/23,15.8125
3/25/23,13.6894
3/26/23,11.8984
3/27/23,10.7605
3/28/23,9.7989
3/29/23,32.2338
3/30/23,37.3925
3/31/23,30.8652
4/1/23,24.5134
4/2/23,20.2216
4/3/23,17.3779
4/4/23,14.7974
4/5/23,12.4587
4/6/23,12.0583
4/7/23,147.84
4/8/23,114.441
4/9/23,78.8955
4/10/23,61.3566
4/11/23,158.912
4/12/23,144.759
4/13/23,107.581
4/14/23,83.0703
4/15/23,66.9749
4/16/23,88.8651
4/17/23,243.67
4/18/23,178.034
4/19/23,121.094
4/20/23,91.4807
4/21/23,74.2342
4/22/23,65.0024
4/23/23,59.213
4/24/23,54.5023
4/25/23,51.4053
4/26/23,46.5924
4/27/23,40.9208
4/28/23,36.2912
4/29/23,34.4323
4/30/23,33.3877
5/1/23,29.5172
5/2/23,25.3361
5/3/23,21.8523
5/4/23,18.9336
5/5/23,16.4957
5/6/23,14.5061
5/7/23,12.7714
5/8/23,11.4145
5/9/23,11.6262
5/10/23,11.7874
5/11/23,11.2732
5/12/23,10.5228
5/13/23,10.3146
5/14/23,17.5052
5/15/23,22.6527
5/16/23,23.2114
5/17/23,21.4546
5/18/23,19.979
5/19/23,18.7004
5/20/23,18.1511
5/21/23,18.635
5/22/23,19.4342
5/23/23,17.7934
5/24/23,15.6388
5/25/23,15.7791
5/26/23,16.6069
5/27/23,16.2456
5/28/23,14.7871
5/29/23,13.4877
5/30/23,13.2065
5/31/23,13.0934
6/1/23,12.5702
6/2/23,12.4458
6/3/23,13.5784
6/4/23,14.5554
6/5/23,17.1037
6/6/23,20.0636
6/7/23,20.5938
6/8/23,19.1562
6/9/23,17.9255
6/10/23,16.5319
6/11/23,14.8863
6/12/23,13.7925
6/13/23,12.6471
6/14/23,11.0646
6/15/23,9.53438
6/16/23,8.33437
6/17/23,7.42692
6/18/23,6.75291
6/19/23,6.40656
6/20/23,6.32427
